,Date,CHASE YOU INVEST TRADE,ROBINHOOD,FIDELITY,BETTERMENT WEALTH,WEALTHFRONT,CHASE CHECKING,CHASE SAVING,MARCUS CD 4655,MARCUS CD 7222,MARCUS SAVING,US BANK CHECKING,US BANK SAVING,DISCOVER SAVING,BETTERMENT CASH,CAPITAL ONE MONEY MARKET,YOTTA,MooMoo,E_TRADER,Cash,Stock,Bond,Sum,S/(S+B) ratio
0,2020-06-21,0.0,0.0,0.0,46829.06,16539.51,12350.88,2031.42,10197.67,10202.21,27316.43,1860.63,1540.96,19087.32,24.63,0.01,0.0,0.0,0.0,84612.16,31684.28,31684.28,147980.73,0.5
1,2020-06-22,0.0,0.0,0.0,46829.06,16539.51,14050.88,331.42,10197.67,10202.21,27316.43,2283.47,1040.96,19087.32,24.63,0.01,0.0,0.0,0.0,84535.0,31684.28,31684.28,147903.57,0.5
2,2020-06-23,0.0,0.0,0.0,46829.06,16539.51,13913.3,331.42,10197.67,10202.21,27316.43,2283.47,1040.96,19087.32,24.63,0.01,0.0,0.0,0.0,84397.42,31684.28,31684.28,147765.99,0.5
3,2020-06-24,0.0,0.0,0.0,46829.06,16539.51,13813.3,331.42,10197.67,10202.21,27316.43,2283.47,1040.96,19087.32,24.63,0.01,0.0,0.0,0.0,84297.42,31684.28,31684.28,147665.99,0.5
4,2020-06-25,0.0,53206.25,0.0,46829.06,16539.51,13763.3,331.42,10197.67,10202.21,27316.43,2283.47,1040.96,19087.32,24.63,0.01,0.0,0.0,0.0,84247.42,84890.53,31684.28,200822.24,0.73
5,2020-06-26,0.0,53206.25,0.0,46829.06,16539.51,7747.32,331.42,10197.67,10202.21,27316.43,2283.47,1040.96,19087.32,24.63,0.01,0.0,0.0,0.0,78231.44,84890.53,31684.28,194806.26,0.73
6,2020-06-28,25165.33,73040.85,2983.55,46829.06,16539.51,7747.32,331.42,10197.67,10202.21,27316.43,2283.47,1040.96,19087.32,24.63,0.01,0.0,0.0,0.0,123240.57,106875.46,12673.71,242789.74,0.89
7,2020-06-29,25165.33,73040.85,2983.55,46829.06,16539.51,6144.43,331.42,10197.67,10202.21,27316.43,2283.47,1040.96,19087.32,24.63,0.01,0.0,0.0,0.0,121637.68,106875.46,12673.71,241186.85,0.89
8,2020-07-01,349.4,73040.85,2983.55,46829.06,16539.51,7979.12,331.42,10197.67,10202.21,27316.43,3158.09,0.0,19087.32,24.63,0.01,0.0,0.0,0.0,98140.7,106875.46,13023.11,218039.27,0.89
9,2020-07-09,21867.0,81367.25,2983.55,46829.06,16539.51,27282.91,331.42,10197.67,10202.21,7316.43,2633.87,0.0,19087.32,24.63,0.01,0.0,0.0,0.0,96920.27,115201.86,34540.71,246662.84,0.77
10,2020-07-10,21867.0,87566.25,2983.55,46829.06,16539.51,27282.91,331.42,10197.67,10202.21,7316.43,2633.87,0.0,19087.32,24.63,0.01,0.0,0.0,0.0,96920.27,121400.86,34540.71,252861.84,0.78
11,2020-07-11,21867.0,87566.25,2983.55,46829.06,16539.51,27258.91,331.42,10197.67,10202.21,7316.43,2633.87,0.0,19087.32,24.63,0.01,0.0,0.0,0.0,96896.27,121400.86,34540.71,252837.84,0.78
12,2020-07-13,41867.0,91050.85,2983.55,46829.06,16539.51,6619.58,331.42,10197.67,10202.21,7316.43,2183.87,0.0,19087.32,24.63,0.01,0.0,0.0,0.0,95806.94,124885.46,34540.71,255233.11,0.78
13,2020-07-15,48572.0,97091.25,2983.55,46829.06,17126.59,6619.58,331.42,10197.67,10202.21,7316.43,2183.87,0.0,19087.32,24.63,0.01,0.0,0.0,0.0,95806.94,138100.52,34658.13,268565.59,0.8
14,2020-07-16,55541.2,97091.25,2983.55,48415.25,17044.49,10022.41,331.42,10217.1,10221.65,7342.59,2176.93,0.0,19104.04,24.63,0.01,0.0,0.0,0.0,99284.58,146272.99,34958.95,280516.52,0.81
15,2020-07-20,55541.2,97091.25,2983.55,48415.25,17044.49,3089.77,331.42,10217.1,10221.65,7342.59,2176.93,0.0,19104.04,24.63,0.01,5000.0,0.0,0.0,97351.94,146272.99,34958.95,278583.88,0.81
16,2020-07-30,69714.16,97091.25,2983.55,48415.25,17044.49,10881.18,331.42,10217.1,10221.65,7342.59,2176.93,0.0,9104.04,24.63,0.01,5000.0,0.0,0.0,95143.35,157457.69,37947.21,290548.25,0.81
17,2020-08-04,101179.86,98109.3,2983.55,28415.25,17044.49,35863.11,331.42,10217.1,10221.65,342.59,2176.93,0.0,1104.04,24.63,0.01,5000.0,0.0,0.0,118283.28,160348.88,34381.77,313013.93,0.82
18,2020-08-05,133287.6,98109.3,2983.55,28415.25,17044.49,20863.11,331.42,10217.1,10221.65,342.59,2176.93,0.0,1104.04,24.63,0.01,5000.0,0.0,0.0,118283.28,174514.59,37323.8,330121.67,0.82
19,2020-09-12,176912.82,99779.8,2983.55,28415.25,17044.49,12976.91,331.42,0.0,10221.65,342.59,2176.93,0.0,1104.04,24.63,0.01,5000.0,1510.0,0.0,122689.98,194009.72,42124.39,358824.09,0.82
20,2020-11-14,121657.15,85434.39,2983.55,12042.59,18684.1,27552.51,331.42,0.0,10269.37,355.45,1791.38,0.0,1122.16,24.66,0.01,5035.34,1510.0,0.0,71150.22,179154.83,38489.04,288794.08,0.82
21,2020-11-23,121657.15,89060.39,2983.55,12042.59,18684.1,27346.86,331.42,0.0,10269.37,355.45,1791.38,0.0,1122.16,24.66,0.01,5035.34,1510.0,0.0,70944.57,182780.83,38489.04,292214.43,0.83
