,Date,AIRBNB 852,AIRBNB 904,AMAZON,BURGER KING,CHEESE CAKE,COSTCO 1-1,COSTCO 1-2,COSTCO 2-1,COSTCO 3-1,COSTCO 3-2,FIRST WATCH 655,FIRST WATCH 705,GAMESTOP 382,HEB 1,KROGER 511,NETFLIX 1,NORDSTROM 2819,STARBUCKS,TARGET 292,TARGET 664,TARGET 668,TRADER JOES,TRADER JOES 1,TRADER JOES 2,UBER EATS,WHOLEFOOD 000351,WHOLEFOOD 01225,WHOLEFOOD 0157,WHOLEFOOD 020613,WHOLEFOOD 020899,WHOLEFOOD 7367
0,2020-06-21,50.0,50.0,0.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,50.0,0.0,100.0,0.0,15.61,67.73,50.0,50.0,50.0,10.16,0.0,0.0,0.0,100.0,50.0,34.44,50.0,75.0,50.0
1,2020-06-22,50.0,50.0,0.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,50.0,0.0,100.0,0.0,15.61,67.73,50.0,50.0,50.0,10.16,0.0,0.0,0.0,100.0,50.0,34.44,50.0,75.0,50.0
2,2020-06-23,50.0,50.0,0.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,50.0,0.0,100.0,0.0,15.61,67.73,50.0,50.0,50.0,10.16,0.0,0.0,0.0,100.0,50.0,34.44,50.0,75.0,50.0
3,2020-06-24,50.0,50.0,0.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,50.0,100.0,100.0,0.0,15.61,67.73,50.0,50.0,50.0,10.16,0.0,0.0,0.0,100.0,50.0,34.44,50.0,75.0,50.0
4,2020-06-25,50.0,50.0,0.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,0.0,0.0,0.0,100.0,50.0,34.44,50.0,75.0,50.0
5,2020-06-26,50.0,50.0,0.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,0.0,0.0,0.0,100.0,50.0,34.44,50.0,75.0,50.0
6,2020-06-28,50.0,50.0,0.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,0.0,0.0,0.0,100.0,50.0,34.44,50.0,75.0,50.0
7,2020-06-29,50.0,50.0,0.0,10.0,25.0,50.0,300.0,300.0,300.0,300.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,0.0,0.0,0.0,100.0,50.0,34.44,50.0,75.0,50.0
8,2020-07-01,50.0,50.0,200.0,10.0,25.0,50.0,300.0,300.0,300.0,300.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,0.0,0.0,0.0,100.0,50.0,34.44,50.0,75.0,50.0
9,2020-07-09,50.0,50.0,200.0,10.0,25.0,50.0,300.0,300.0,300.0,300.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,50.0,50.0,0.0,100.0,50.0,34.44,50.0,75.0,50.0
10,2020-07-10,50.0,50.0,200.0,10.0,25.0,50.0,300.0,300.0,300.0,300.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,50.0,50.0,0.0,100.0,50.0,34.44,50.0,75.0,50.0
11,2020-07-11,50.0,50.0,200.0,10.0,25.0,50.0,300.0,300.0,300.0,300.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,50.0,50.0,44.4,100.0,50.0,34.44,50.0,75.0,50.0
12,2020-07-13,50.0,50.0,200.0,10.0,25.0,50.0,60.0,300.0,300.0,300.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,50.0,50.0,44.4,100.0,50.0,34.44,50.0,75.0,50.0
13,2020-07-15,50.0,50.0,200.0,10.0,25.0,50.0,60.0,300.0,300.0,300.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,50.0,50.0,44.4,100.0,50.0,34.44,50.0,75.0,50.0
14,2020-07-16,50.0,50.0,200.0,10.0,25.0,50.0,60.0,300.0,300.0,300.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,50.0,50.0,44.4,100.0,50.0,34.44,50.0,75.0,50.0
15,2020-07-20,50.0,50.0,200.0,10.0,25.0,50.0,60.0,300.0,300.0,300.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,50.0,50.0,44.4,100.0,50.0,34.44,50.0,75.0,50.0
16,2020-07-30,50.0,50.0,200.0,10.0,25.0,50.0,60.0,300.0,300.0,300.0,25.0,25.0,50.0,100.0,100.0,50.0,15.61,67.73,50.0,50.0,50.0,10.16,50.0,50.0,44.4,100.0,50.0,34.44,50.0,75.0,50.0
